Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2023-03-11,Dinner,1451.8,63.8,20.1,13.0,18.8,0.0,262.1,2725.6,615.6,175.7,14.3,33.1,39.4,30.6,108.8,14.1,28.1,
2023-03-12,Breakfast,574.6,35.5,10.3,0.1,0.0,0.0,0.0,211.0,449.9,50.6,6.6,21.0,16.4,6.0,18.1,0.8,1.9,
2023-03-12,Lunch,154.0,0.9,0.3,0.1,0.0,0.0,0.0,12.0,214.0,38.0,6.2,31.2,1.7,0.0,83.3,1.2,1.3,
2023-03-12,Dinner,973.0,44.8,18.8,0.0,0.0,0.0,0.0,436.0,120.0,109.6,2.8,20.2,27.4,0.0,0.0,0.0,0.0,
2023-03-13,Breakfast,771.6,25.8,13.7,0.8,3.3,0.0,41.3,777.4,544.5,105.4,6.8,24.4,26.2,44.6,0.0,46.6,0.7,
2023-03-13,Lunch,1319.0,56.5,26.1,0.0,0.0,0.0,0.0,374.4,0.0,113.4,5.2,39.7,53.8,0.0,0.0,0.0,0.0,
2023-03-13,Dinner,1118.0,42.5,16.5,0.1,0.0,0.0,0.0,1242.3,214.0,140.8,15.4,37.6,40.9,0.0,15.3,1.2,1.3,
2023-03-14,Breakfast,614.0,23.7,3.6,4.3,0.0,0.0,0.0,13.0,214.0,78.9,6.2,31.2,21.9,0.0,83.3,1.2,2.7,
2023-03-14,Dinner,854.0,27.7,1.2,0.3,0.0,0.0,5.0,695.7,703.4,131.0,8.1,7.2,18.8,399.0,37.0,12.1,10.9,
2023-03-15,Breakfast,961.8,48.8,19.3,0.9,12.0,0.0,0.0,162.4,214.0,85.1,5.7,26.1,31.7,0.0,15.3,1.2,1.3,
2023-03-15,Dinner,1403.5,37.2,10.9,0.0,0.0,0.0,0.0,1583.0,0.0,227.1,25.3,33.1,45.7,0.0,0.0,0.0,0.0,
2023-03-16,Breakfast,638.5,30.6,5.7,0.2,0.0,0.0,0.0,75.1,770.1,81.6,13.2,58.5,16.9,5.0,104.1,2.5,4.4,
2023-03-16,Dinner,957.2,40.2,19.5,0.1,0.0,0.0,0.0,268.9,233.1,118.9,7.0,5.2,28.8,59.9,7.9,2.2,3.9,
2023-03-16,Snacks,130.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,2.0,
2023-03-17,Breakfast,831.5,55.1,21.9,0.1,0.0,0.0,0.0,73.1,556.1,56.2,8.8,37.7,32.4,5.0,88.8,1.3,3.1,
2023-03-17,Dinner,1513.8,56.5,20.2,0.0,0.0,0.0,0.0,2878.0,0.0,202.7,18.3,41.9,39.3,0.0,0.0,0.0,0.0,
2023-03-18,Breakfast,851.6,41.8,11.7,0.3,0.0,0.0,0.0,235.8,836.9,105.8,14.2,66.6,21.2,5.0,106.0,2.8,5.1,
2023-03-18,Dinner,1438.0,52.4,20.6,0.0,0.0,0.0,0.0,1577.0,0.0,182.4,14.0,16.4,52.8,0.0,0.0,0.0,0.0,
2023-03-19,Breakfast,619.6,32.9,11.9,0.2,0.0,0.0,0.0,31.6,529.4,63.6,7.0,25.7,19.7,5.0,24.8,1.2,2.4,
2023-03-19,Dinner,1832.7,95.6,26.9,3.9,13.2,1.0,151.0,2337.2,215.9,163.1,43.2,78.7,59.2,25.7,7.2,10.8,119.9,
2023-03-20,Breakfast,648.6,23.3,2.2,0.0,0.0,0.0,0.0,0.5,0.0,32.2,1.5,4.3,23.5,0.0,0.0,0.0,0.0,
2023-03-20,Lunch,157.0,0.6,0.1,0.2,0.0,0.0,0.0,2.2,529.4,40.8,5.5,24.8,1.6,5.0,24.8,1.2,2.4,
2023-03-20,Dinner,1120.9,49.9,22.7,5.3,10.4,0.8,194.5,2366.4,1432.9,103.8,4.8,22.4,61.4,28.5,26.1,84.0,9.8,
2023-03-21,Breakfast,813.0,12.8,1.9,0.1,0.0,0.0,0.0,1869.4,107.0,143.5,6.0,34.2,33.3,0.0,7.7,0.6,0.7,
2023-03-21,Lunch,530.0,17.7,4.2,3.0,5.4,0.0,5.0,1380.0,0.0,58.1,6.3,4.7,39.6,0.0,0.0,15.0,6.0,
2023-03-21,Dinner,600.3,28.0,11.7,0.6,2.1,0.0,12.7,1044.4,101.1,64.9,7.2,12.0,19.5,0.4,1.0,0.4,3.1,
2023-03-22,Breakfast,892.6,37.5,20.4,3.4,10.8,1.0,463.8,815.6,431.0,85.2,2.4,11.6,51.5,30.9,1.9,22.7,16.3,
2023-03-22,Dinner,1160.2,31.7,9.8,1.2,1.9,0.0,23.4,1500.4,178.1,174.7,25.2,16.3,41.9,0.0,0.0,50.7,31.7,
2023-03-23,Breakfast,604.6,32.1,5.8,0.2,0.0,0.0,0.0,77.4,663.1,68.0,11.0,48.2,17.5,5.0,96.5,1.9,3.8,
2023-03-23,Dinner,1575.9,90.8,43.6,0.1,0.0,0.0,0.0,989.5,193.0,147.5,9.7,54.6,44.4,99.3,20.2,3.0,3.8,
2023-03-24,Breakfast,585.4,28.0,5.2,0.3,0.0,0.0,0.0,69.4,743.3,75.1,10.9,54.4,15.8,5.0,98.8,2.3,4.6,
2023-03-24,Dinner,1031.3,38.3,4.5,22.6,8.9,0.9,222.5,2104.5,2185.1,105.8,7.2,3.0,64.2,6.4,70.8,28.2,15.1,
2023-03-24,Snacks,18.9,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.5,1.4,1.0,0.0,0.0,0.0,0.0,
2023-03-25,Breakfast,599.4,32.1,5.8,0.1,0.0,0.0,0.0,77.3,652.4,66.6,10.8,47.2,17.4,5.0,95.7,1.8,3.7,
2023-03-25,Dinner,1214.6,40.8,16.0,0.8,3.3,0.0,41.3,1257.4,694.5,167.2,14.7,31.4,47.5,44.6,0.0,123.6,32.7,
2023-03-26,Breakfast,599.4,32.1,5.8,0.1,0.0,0.0,0.0,77.3,652.4,66.6,10.8,47.2,17.4,5.0,95.7,1.8,3.7,
2023-03-26,Dinner,1388.1,45.4,15.1,0.8,3.3,7.0,41.3,1180.4,544.5,202.3,28.5,41.3,55.5,44.6,0.0,54.6,50.7,
2023-03-26,Snacks,114.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.2,6.7,0.0,0.0,0.0,0.0,
2023-03-27,Breakfast,795.2,8.5,1.4,0.4,0.2,0.0,0.0,14.0,530.3,108.3,11.0,45.3,50.2,6.0,93.2,1.6,2.7,
2023-03-27,Dinner,1248.6,47.4,17.0,0.8,3.3,0.0,41.3,2517.4,544.5,136.6,5.1,23.4,72.4,44.6,15.0,48.6,6.7,
2023-03-28,Breakfast,737.3,39.8,11.5,0.0,0.0,7.0,0.0,1024.0,0.0,75.6,12.8,10.2,23.6,0.0,0.0,8.0,50.0,
2023-03-28,Dinner,1097.9,58.7,26.9,5.7,2.0,0.4,0.0,1017.4,382.7,105.2,8.7,22.8,37.8,150.9,25.6,6.0,5.7,
2023-03-29,Breakfast,872.2,32.5,17.6,3.0,9.3,0.9,397.5,700.1,713.1,96.7,4.5,23.3,48.7,30.6,15.5,19.9,15.4,
2023-03-29,Lunch,64.0,0.2,0.0,0.1,0.0,0.0,0.0,1.2,131.6,17.0,3.0,12.8,0.3,0.0,9.4,0.7,0.8,
2023-03-29,Dinner,956.0,12.5,6.0,0.0,0.0,0.0,20.0,704.5,567.5,197.1,22.5,21.0,40.0,0.0,0.0,5.2,4.0,
2023-03-30,Breakfast,621.6,32.1,4.0,4.5,11.0,0.0,0.0,41.8,946.5,76.7,14.0,51.0,16.8,5.0,98.4,11.5,11.1,
2023-03-30,Dinner,1088.6,40.4,14.0,1.5,3.6,0.0,41.3,339.4,632.5,119.4,13.3,29.5,57.6,44.6,0.0,48.0,14.9,
2023-03-31,Breakfast,552.6,31.9,5.8,0.1,0.0,0.0,0.0,76.4,556.1,54.2,8.6,37.8,17.2,5.0,88.8,1.3,3.1,
2023-03-31,Dinner,814.5,32.8,9.5,15.1,5.9,0.6,148.4,1453.0,1456.8,84.5,5.0,13.0,44.3,4.3,47.2,18.8,10.0,
2023-03-31,Snacks,346.3,19.5,10.7,0.5,2.1,0.0,25.8,270.9,340.3,30.3,0.7,15.6,12.1,27.8,0.0,29.1,0.4,
2023-04-01,Breakfast,617.6,32.1,5.8,0.2,0.0,0.0,0.0,77.7,689.9,71.5,11.6,50.8,17.5,5.0,98.4,2.1,3.9,
2023-04-01,Dinner,1527.1,73.0,19.8,12.6,28.2,0.0,191.8,1510.6,707.9,145.7,12.2,39.7,69.5,84.5,4.8,78.4,18.5,
2023-04-02,Breakfast,268.3,1.3,0.3,0.2,0.0,0.0,0.0,13.9,689.9,67.4,8.1,48.6,3.3,5.0,98.4,2.1,3.9,
2023-04-02,Lunch,454.8,28.2,13.4,0.9,2.2,0.0,216.1,430.1,89.8,30.1,1.5,1.5,20.9,8.0,0.0,32.5,4.2,
2023-04-02,Dinner,1476.4,53.5,22.1,1.2,0.5,0.1,0.0,426.2,1090.5,202.9,11.6,41.2,31.9,268.3,18.2,4.7,8.6,
2023-04-03,Breakfast,992.1,32.7,9.7,0.2,0.0,0.0,0.0,1080.4,602.0,144.4,14.5,45.3,33.2,6.6,96.3,1.7,2.9,
2023-04-03,Lunch,1686.8,91.5,17.9,0.9,2.2,0.1,216.1,769.7,489.8,146.1,3.0,0.2,71.4,8.0,0.0,40.0,29.2,
2023-04-04,Breakfast,557.3,4.0,1.1,0.6,0.9,0.0,102.0,257.9,788.9,128.5,8.6,85.3,8.7,8.1,98.4,9.1,19.0,
2023-04-04,Lunch,350.8,12.6,3.8,0.0,0.0,0.0,0.0,1800.0,0.0,48.1,3.4,6.2,7.9,0.0,0.0,0.0,0.0,
2023-04-04,Dinner,1146.0,44.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,
